country_name,date,parameter,product,value,unit
Brazil,2023-12-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1259.406,GWh
Brazil,2023-12-01,Net Electricity Production,Oil and Petroleum Products,939.1877,GWh
Brazil,2023-12-01,Net Electricity Production,Natural Gas,4518.1832,GWh
Brazil,2023-12-01,Net Electricity Production,Combustible Renewables,3392.7056,GWh
Brazil,2023-12-01,Net Electricity Production,Other Combustible Non-Renewables,139.9328,GWh
Brazil,2023-12-01,Net Electricity Production,Hydro,36688.7958,GWh
Brazil,2023-12-01,Net Electricity Production,Wind,8141.436,GWh
Brazil,2023-12-01,Net Electricity Production,Solar,4946.5032,GWh
Brazil,2023-12-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",53169.4405,GWh
Peru,2023-12-01,Net Electricity Production,Electricity,5245.049,GWh
Peru,2023-12-01,Net Electricity Production,Total Combustible Fuels,1627.5694,GWh
Peru,2023-12-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",20.3389,GWh
Peru,2023-12-01,Net Electricity Production,Oil and Petroleum Products,21.6563,GWh
Peru,2023-12-01,Net Electricity Production,Natural Gas,1542.4616,GWh
Peru,2023-12-01,Net Electricity Production,Combustible Renewables,43.1126,GWh
Peru,2023-12-01,Net Electricity Production,Hydro,3251.7906,GWh
Peru,2023-12-01,Net Electricity Production,Wind,252.0476,GWh
Peru,2023-12-01,Net Electricity Production,Solar,113.6414,GWh
Peru,2023-12-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3660.5921,GWh
Chile,2023-11-01,Net Electricity Production,Electricity,7261.372,GWh
Chile,2023-11-01,Net Electricity Production,Total Combustible Fuels,1817.0908,GWh
Chile,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",893.924,GWh
Chile,2023-11-01,Net Electricity Production,Oil and Petroleum Products,17.6503,GWh
Chile,2023-11-01,Net Electricity Production,Natural Gas,537.271,GWh
Chile,2023-11-01,Net Electricity Production,Combustible Renewables,368.2455,GWh
Chile,2023-11-01,Net Electricity Production,Hydro,3070.5198,GWh
Chile,2023-11-01,Net Electricity Production,Wind,897.9546,GWh
Chile,2023-11-01,Net Electricity Production,Solar,1434.2718,GWh
Chile,2023-11-01,Net Electricity Production,Geothermal,41.5351,GWh
Chile,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5812.5267,GWh
Chile,2023-11-01,Distribution Losses,Electricity,348.8675,GWh
Chile,2023-11-01,Final Consumption (Calculated),Electricity,6912.5045,GWh
Colombia,2023-11-01,Net Electricity Production,Electricity,7325.7009,GWh
Colombia,2023-11-01,Net Electricity Production,Total Combustible Fuels,2676.0382,GWh
Colombia,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",789.3141,GWh
Colombia,2023-11-01,Net Electricity Production,Oil and Petroleum Products,402.5194,GWh
Colombia,2023-11-01,Net Electricity Production,Natural Gas,1302.7918,GWh
Colombia,2023-11-01,Net Electricity Production,Combustible Renewables,181.413,GWh
Colombia,2023-11-01,Net Electricity Production,Hydro,4598.4831,GWh
Colombia,2023-11-01,Net Electricity Production,Solar,51.1796,GWh
Colombia,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4831.0756,GWh
Colombia,2023-11-01,Total Imports,Electricity,0.1075,GWh
Colombia,2023-11-01,Total Exports,Electricity,140.0235,GWh
Colombia,2023-11-01,Distribution Losses,Electricity,394.8563,GWh
Colombia,2023-11-01,Final Consumption (Calculated),Electricity,6790.9286,GWh
Costa Rica,2023-11-01,Remarks,Data is estimated for this month,,GWh
Costa Rica,2023-11-01,Net Electricity Production,Electricity,1041.2975,GWh
Costa Rica,2023-11-01,Net Electricity Production,Total Combustible Fuels,0.4076,GWh
Costa Rica,2023-11-01,Net Electricity Production,Oil and Petroleum Products,0.3157,GWh
Costa Rica,2023-11-01,Net Electricity Production,Combustible Renewables,0.0919,GWh
Costa Rica,2023-11-01,Net Electricity Production,Hydro,857.9155,GWh
Costa Rica,2023-11-01,Net Electricity Production,Wind,93.8975,GWh
Costa Rica,2023-11-01,Net Electricity Production,Solar,5.9772,GWh
Costa Rica,2023-11-01,Net Electricity Production,Geothermal,83.0997,GWh
Costa Rica,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1040.9817,GWh
Costa Rica,2023-11-01,Final Consumption (Calculated),Electricity,1041.2975,GWh
Mexico,2023-11-01,Net Electricity Production,Electricity,30164.6004,GWh
Mexico,2023-11-01,Net Electricity Production,Nuclear,848.571,GWh
Mexico,2023-11-01,Net Electricity Production,Total Combustible Fuels,25064.0812,GWh
Mexico,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1851.1245,GWh
Mexico,2023-11-01,Net Electricity Production,Oil and Petroleum Products,4410.4623,GWh
Mexico,2023-11-01,Net Electricity Production,Natural Gas,18537.4302,GWh
Mexico,2023-11-01,Net Electricity Production,Combustible Renewables,168.879,GWh
Mexico,2023-11-01,Net Electricity Production,Other Combustible Non-Renewables,96.1852,GWh
Mexico,2023-11-01,Net Electricity Production,Hydro,991.0007,GWh
Mexico,2023-11-01,Net Electricity Production,Wind,1845.9921,GWh
Mexico,2023-11-01,Net Electricity Production,Solar,959.1832,GWh
Mexico,2023-11-01,Net Electricity Production,Geothermal,291.0222,GWh
Mexico,2023-11-01,Net Electricity Production,Not Specified,164.75,GWh
Mexico,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4256.0772,GWh
Mexico,2023-11-01,Total Imports,Electricity,449.1211,GWh
Mexico,2023-11-01,Total Exports,Electricity,169.968,GWh
Mexico,2023-11-01,Distribution Losses,Electricity,2886.6348,GWh
Mexico,2023-11-01,Final Consumption (Calculated),Electricity,27557.1187,GWh
Argentina,2023-11-01,Net Electricity Production,Electricity,10202.091,GWh
Argentina,2023-11-01,Net Electricity Production,Nuclear,874.8354,GWh
Argentina,2023-11-01,Net Electricity Production,Total Combustible Fuels,5311.7721,GWh
Argentina,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1.1415,GWh
Argentina,2023-11-01,Net Electricity Production,Oil and Petroleum Products,169.0547,GWh
Argentina,2023-11-01,Net Electricity Production,Natural Gas,4961.0413,GWh
Argentina,2023-11-01,Net Electricity Production,Combustible Renewables,180.5346,GWh
Argentina,2023-11-01,Net Electricity Production,Hydro,2221.5122,GWh
Argentina,2023-11-01,Net Electricity Production,Wind,1445.5168,GWh
Argentina,2023-11-01,Net Electricity Production,Solar,348.4545,GWh
Argentina,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4196.0181,GWh
Brazil,2023-11-01,Net Electricity Production,Electricity,60978.0837,GWh
Brazil,2023-11-01,Net Electricity Production,Nuclear,421.2623,GWh
Brazil,2023-11-01,Net Electricity Production,Total Combustible Fuels,12290.9984,GWh
Brazil,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1685.0035,GWh
Brazil,2023-11-01,Net Electricity Production,Oil and Petroleum Products,988.534,GWh
Brazil,2023-11-01,Net Electricity Production,Natural Gas,3818.2454,GWh
